site,territory_size,cactus_size,nest_id,fledge_success
Irvine Ranch,2.30,67,1,0
Irvine Ranch,1.18,65,2,1
Irvine Ranch,2.31,24,3,1
Irvine Ranch,1.90,48,4,0
Irvine Ranch,1.92,29,5,1
Irvine Ranch,1.76,44,6,0
Irvine Ranch,0.89,46,7,1
Irvine Ranch,2.32,25,8,1
Irvine Ranch,2.24,49,9,1
Irvine Ranch,1.72,70,10,1
Irvine Ranch,0.88,24,11,0
Irvine Ranch,0.80,47,12,0
Irvine Ranch,2.24,76,13,0
UCI Eco Preserve,0.55,48,14,1
UCI Eco Preserve,1.03,25,15,1
UCI Eco Preserve,0.53,32,16,0
UCI Eco Preserve,0.77,38,17,1
Laguna Coast Wilderness,1.95,76,18,1
Laguna Coast Wilderness,1.31,197,19,0
Laguna Coast Wilderness,1.76,75,20,0
Laguna Coast Wilderness,1.17,143,21,0
Laguna Coast Wilderness,1.57,101,22,0
Laguna Coast Wilderness,2.05,84,23,0
Laguna Coast Wilderness,1.98,75,24,0
Laguna Coast Wilderness,1.34,57,25,1
Laguna Coast Wilderness,1.58,146,26,0
Laguna Coast Wilderness,1.41,198,27,1
Laguna Coast Wilderness,1.87,162,28,0
Laguna Coast Wilderness,1.14,56,29,1
Laguna Coast Wilderness,2.07,133,30,1
